Sample,SimRMSE,ExpRMSE
arabidopsis,0.2006273825421272,0.19365886881903543
candida_CBS138,0.19351933305196747,0.1127245869241357
drosophila_Kc,0.13762315394866825,0.1934521237240986
drosophila_S2,0.22175952945161165,0.05990671048923995
human_K562,0.7371448432227664,0.585277574168326
human_MCF7,0.7466492155014433,0.5912989856683663
k_lactis,0.15808968424235073,0.2578165268832134
L_waltii,0.14754333478325865,0.24743859636976298
mouse_ES1,0.20142895717390585,0.1723019344218334
mouse_MEF,0.21114039368798673,0.1758825234867331
mouse_P19,0.2132759639323661,0.19967245942755604
s_cerevisiae,0.1155642013189226,0.14805544917099464
